386,9,ELS,LS,MLS,MS,MCU,CU,ECU,
224.0,278.0,47.0,330.0,128.0,258.0,1.0,502.0,224.0,4
256.0,187.0,40.0,268.0,165.0,71.0,1.0,365.0,256.0,5
256.0,162.0,59.0,244.0,179.0,45.0,3.0,351.0,256.0,5
256.0,198.0,46.0,353.0,256.0,160.0,1.0,374.0,256.0,5
256.0,184.0,62.0,241.0,139.0,20.0,16.0,277.0,255.0,4
256.0,149.0,68.0,161.0,82.0,139.0,55.0,191.0,225.0,1
256.0,304.0,47.0,346.0,113.0,234.0,17.0,444.0,256.0,3
256.0,215.0,43.0,286.0,176.0,134.0,1.0,286.0,256.0,5
224.0,281.0,47.0,306.0,82.0,232.0,38.0,356.0,224.0,2
256.0,368.0,37.0,450.0,162.0,286.0,1.0,450.0,256.0,4
256.0,125.0,28.0,204.0,148.0,1.0,1.0,252.0,256.0,4
256.0,217.0,42.0,239.0,71.0,191.0,30.0,296.0,256.0,2
256.0,204.0,1.0,381.0,239.0,188.0,1.0,401.0,256.0,6
224.0,273.0,27.0,324.0,109.0,175.0,6.0,422.0,223.0,3
256.0,124.0,63.0,175.0,130.0,92.0,35.0,283.0,256.0,4
256.0,292.0,42.0,398.0,232.0,34.0,1.0,399.0,256.0,5
256.0,136.0,36.0,181.0,99.0,46.0,1.0,227.0,256.0,3
256.0,210.0,81.0,300.0,191.0,142.0,1.0,467.0,254.0,4
256.0,332.0,57.0,384.0,128.0,253.0,17.0,457.0,256.0,4
