442,9,ELS,LS,MLS,MS,MCU,CU,ECU
256.0,201.0,78.0,240.0,156.0,71.0,49.0,259.0,256.0,4
256.0,1.0,1.0,544.0,256.0,1.0,1.0,544.0,256.0,6
256.0,122.0,37.0,219.0,184.0,37.0,1.0,320.0,255.0,5
256.0,161.0,46.0,246.0,160.0,15.0,1.0,332.0,256.0,4
256.0,213.0,57.0,302.0,215.0,129.0,1.0,432.0,256.0,5
256.0,220.0,51.0,313.0,183.0,91.0,3.0,374.0,256.0,5
256.0,177.0,76.0,281.0,216.0,1.0,1.0,322.0,256.0,5
256.0,180.0,37.0,213.0,97.0,104.0,1.0,227.0,255.0,3
256.0,95.0,51.0,163.0,157.0,1.0,1.0,184.0,256.0,4
256.0,110.0,32.0,123.0,64.0,57.0,16.0,138.0,256.0,2
256.0,295.0,36.0,353.0,124.0,180.0,11.0,458.0,256.0,4
256.0,150.0,33.0,280.0,233.0,15.0,1.0,302.0,256.0,5
256.0,171.0,53.0,263.0,166.0,74.0,1.0,354.0,256.0,5
256.0,80.0,24.0,105.0,56.0,38.0,9.0,135.0,256.0,1
256.0,220.0,67.0,294.0,172.0,144.0,7.0,407.0,256.0,5
256.0,140.0,55.0,208.0,151.0,31.0,6.0,298.0,256.0,4
256.0,112.0,48.0,258.0,256.0,71.0,1.0,365.0,256.0,5
256.0,201.0,48.0,242.0,108.0,130.0,12.0,296.0,256.0,3
256.0,76.0,52.0,178.0,219.0,70.0,24.0,454.0,256.0,5
256.0,125.0,12.0,264.0,209.0,1.0,1.0,382.0,256.0,5
256.0,240.0,60.0,326.0,194.0,58.0,1.0,367.0,256.0,5
256.0,194.0,44.0,300.0,207.0,118.0,1.0,419.0,256.0,5
240.0,123.0,66.0,152.0,102.0,68.0,45.0,205.0,238.0,3
256.0,125.0,38.0,174.0,90.0,22.0,20.0,320.0,256.0,3
224.0,336.0,59.0,402.0,169.0,10.0,1.0,528.0,224.0,5
224.0,117.0,22.0,237.0,181.0,2.0,1.0,518.0,224.0,5
256.0,246.0,28.0,299.0,129.0,53.0,1.0,299.0,256.0,4
256.0,203.0,19.0,354.0,242.0,46.0,1.0,398.0,253.0,5
256.0,276.0,5.0,309.0,60.0,219.0,1.0,379.0,255.0,3
256.0,146.0,102.0,172.0,138.0,103.0,80.0,223.0,256.0,3
256.0,160.0,78.0,242.0,212.0,70.0,17.0,363.0,256.0,5
256.0,7.0,47.0,221.0,155.0,1.0,47.0,310.0,256.0,5
256.0,211.0,49.0,341.0,223.0,107.0,1.0,432.0,256.0,5
256.0,177.0,63.0,220.0,114.0,117.0,25.0,286.0,255.0,3
192.0,274.0,39.0,293.0,60.0,253.0,27.0,332.0,191.0,2
256.0,198.0,8.0,289.0,181.0,1.0,1.0,332.0,256.0,5
256.0,308.0,53.0,342.0,110.0,186.0,1.0,438.0,256.0,3
256.0,124.0,63.0,190.0,155.0,2.0,19.0,270.0,256.0,4
224.0,258.0,41.0,310.0,105.0,194.0,6.0,396.0,223.0,3
256.0,149.0,50.0,189.0,105.0,103.0,6.0,287.0,255.0,3
256.0,241.0,64.0,255.0,83.0,224.0,55.0,278.0,213.0,1
256.0,206.0,54.0,252.0,139.0,81.0,7.0,326.0,255.0,4
256.0,179.0,71.0,208.0,120.0,108.0,52.0,242.0,256.0,3
256.0,128.0,7.0,235.0,202.0,1.0,1.0,277.0,254.0,5
256.0,152.0,49.0,186.0,97.0,86.0,25.0,237.0,256.0,3
256.0,192.0,67.0,213.0,101.0,57.0,20.0,298.0,256.0,2
256.0,124.0,61.0,167.0,128.0,108.0,18.0,247.0,253.0,4
224.0,231.0,39.0,331.0,152.0,147.0,1.0,368.0,224.0,5
256.0,228.0,53.0,253.0,87.0,197.0,29.0,281.0,256.0,3
256.0,250.0,53.0,266.0,68.0,212.0,44.0,281.0,190.0,0
224.0,278.0,47.0,330.0,128.0,258.0,1.0,502.0,224.0,4
256.0,205.0,47.0,308.0,187.0,103.0,1.0,384.0,256.0,5
256.0,162.0,43.0,213.0,110.0,79.0,11.0,305.0,256.0,4
256.0,187.0,40.0,268.0,165.0,71.0,1.0,365.0,256.0,5
256.0,162.0,59.0,244.0,179.0,45.0,3.0,351.0,256.0,5
256.0,126.0,61.0,221.0,201.0,14.0,14.0,317.0,256.0,5
256.0,288.0,54.0,301.0,77.0,261.0,49.0,329.0,240.0,1
256.0,198.0,46.0,353.0,256.0,160.0,1.0,374.0,256.0,5
256.0,184.0,62.0,241.0,139.0,20.0,16.0,277.0,255.0,4
256.0,149.0,68.0,161.0,82.0,139.0,55.0,191.0,225.0,1
256.0,304.0,47.0,346.0,113.0,234.0,17.0,444.0,256.0,3
256.0,215.0,43.0,286.0,176.0,134.0,1.0,286.0,256.0,5
224.0,281.0,47.0,306.0,82.0,232.0,38.0,356.0,224.0,2
256.0,368.0,37.0,450.0,162.0,286.0,1.0,450.0,256.0,4
256.0,123.0,49.0,171.0,113.0,45.0,9.0,255.0,255.0,3
256.0,125.0,28.0,204.0,148.0,1.0,1.0,252.0,256.0,4
256.0,217.0,42.0,239.0,71.0,191.0,30.0,296.0,256.0,2
256.0,204.0,1.0,381.0,239.0,188.0,1.0,401.0,256.0,6
224.0,273.0,27.0,324.0,109.0,175.0,6.0,422.0,223.0,3
256.0,248.0,95.0,257.0,111.0,222.0,90.0,275.0,234.0,0
256.0,124.0,63.0,175.0,130.0,92.0,35.0,283.0,256.0,4
256.0,292.0,42.0,398.0,232.0,34.0,1.0,399.0,256.0,5
256.0,136.0,36.0,181.0,99.0,46.0,1.0,227.0,256.0,3
224.0,131.0,32.0,220.0,176.0,1.0,1.0,267.0,224.0,5
256.0,162.0,71.0,192.0,110.0,134.0,55.0,233.0,255.0,3
256.0,332.0,57.0,384.0,128.0,253.0,17.0,457.0,256.0,4
